mouse_ensembl_id,mouse_entrez_id,mouse_symbol,human_symbol,human_entrez_id
ENSMUSG00000028957,18628,Per3,PER3,8863
ENSMUSG00000028958,64295,Tmub1,TMUB1,83590
ENSMUSG00000028959,66587,Fastk,FASTK,10922
ENSMUSG00000028960,63958,Ube4b,UBE4B,10277
ENSMUSG00000028961,110208,Pgd,PGD,5226
ENSMUSG00000028962,20535,Slc4a2,SLC4A2,6522
ENSMUSG00000028963,24111,Uts2,UTS2,10911
ENSMUSG00000028964,57320,Park7,PARK7,11315
ENSMUSG00000028965,21942,Tnfrsf9,TNFRSF9,3604
ENSMUSG00000028967,74155,Errfi1,ERRFI1,54206
ENSMUSG00000028969,12568,Cdk5,CDK5,1020
ENSMUSG00000028970,18669,Abcb1b,NA,NA
ENSMUSG00000028971,12854,Cort,CORT,1325
ENSMUSG00000028972,12353,Car6,CA6,765
ENSMUSG00000028973,74610,Abcb8,ABCB8,11194
ENSMUSG00000028974,13347,Dffa,DFFA,1676
ENSMUSG00000028975,56273,Pex14,PEX14,5195
ENSMUSG00000028976,56485,Slc2a5,SLC2A5,6518
ENSMUSG00000028977,69743,Casz1,CASZ1,54897
ENSMUSG00000028978,18127,Nos3,NOS3,4846
ENSMUSG00000028979,17175,Masp2,MASP2,10747
ENSMUSG00000028980,100198,H6pd,H6PD,9563
ENSMUSG00000028982,70556,Slc25a33,SLC25A33,84275
ENSMUSG00000028986,52323,Klhl7,KLHL7,55975
ENSMUSG00000028988,67087,Ctnnbip1,CTNNBIP1,56998
ENSMUSG00000028989,654812,Angptl7,ANGPTL7,10218
ENSMUSG00000028990,69151,Lzic,LZIC,84328
ENSMUSG00000028991,56717,Mtor,MTOR,2475
ENSMUSG00000028992,66454,Nmnat1,NMNAT1,64802
ENSMUSG00000028995,84652,Hycc1,FAM126A,84668
ENSMUSG00000028996,63954,Rbp7,RBP7,116362
ENSMUSG00000028998,66169,Tomm7,TOMM7,54543
ENSMUSG00000028999,72772,Rint1,RINT1,60561
ENSMUSG00000029001,230903,Fbxo44,FBXO44,93611
ENSMUSG00000029003,71890,Mad2l2,MAD2L2,10459
ENSMUSG00000029004,69188,Kmt2e,KMT2E,55904
ENSMUSG00000029005,70433,Draxin,DRAXIN,374946
ENSMUSG00000029007,11610,Agtrap,AGTRAP,57085
ENSMUSG00000029009,17769,Mthfr,MTHFR,4524
ENSMUSG00000029012,26429,Orc5,ORC5,5001
ENSMUSG00000029014,22791,Dnajc2,DNAJC2,27000
ENSMUSG00000029015,80979,Slc26a5,SLC26A5,375611
ENSMUSG00000029016,26372,Clcn6,CLCN6,1185
ENSMUSG00000029017,73078,Pmpcb,PMPCB,9512
ENSMUSG00000029019,18158,Nppb,NA,NA
ENSMUSG00000029020,170731,Mfn2,MFN2,9927
ENSMUSG00000029022,28010,Miip,MIIP,60672
ENSMUSG00000029026,22062,Trp73,TP73,7161
ENSMUSG00000029027,13368,Dffb,DFFB,1677
ENSMUSG00000029028,72946,Lrrc47,LRRC47,57470
ENSMUSG00000029029,59002,Wrap73,WRAP73,49856
ENSMUSG00000029030,67808,Tprg1l,TPRG1L,127262
ENSMUSG00000029032,230972,Arhgef16,ARHGEF16,27237
ENSMUSG00000029033,140500,Acap3,ACAP3,116983
ENSMUSG00000029034,71957,Ints11,CPSF3L,54973
ENSMUSG00000029036,108888,Atad3a,ATAD3A,55210
ENSMUSG00000029038,68991,Ssu72,SSU72,29101
ENSMUSG00000029044,75942,4930584F24Rik,NA,NA
ENSMUSG00000029047,668173,Pex10,PEX10,5192
ENSMUSG00000029048,67830,Rer1,RER1,11079
ENSMUSG00000029049,76866,Morn1,MORN1,79906
ENSMUSG00000029050,20481,Ski,SKI,6497
ENSMUSG00000029053,18762,Prkcz,PRKCZ,5590
ENSMUSG00000029054,14403,Gabrd,GABRD,2563
ENSMUSG00000029055,269615,Plch2,PLCH2,9651
ENSMUSG00000029056,269614,Pank4,PANK4,55229
ENSMUSG00000029059,66469,Prxl2b,FAM213B,127281
ENSMUSG00000029060,76580,Mib2,MIB2,142678
ENSMUSG00000029061,26561,Mmp23,MMP23B,8510
ENSMUSG00000029062,12537,Cdk11b,CDK11A,728642
ENSMUSG00000029063,192185,Nadk,NADK,65220
ENSMUSG00000029064,14688,Gnb1,GNB1,2782
ENSMUSG00000029066,66448,Mrpl20,MRPL20,55052
ENSMUSG00000029068,56036,Ccnl2,CCNL2,81669
ENSMUSG00000029070,74761,Mxra8,MXRA8,54587
ENSMUSG00000029071,13542,Dvl1,DVL1,1855
ENSMUSG00000029072,83771,Tas1r3,TAS1R3,83756
ENSMUSG00000029073,79554,Cptp,GLTPD1,80772
ENSMUSG00000029074,330010,Ttll10,TTLL10,254173
ENSMUSG00000029075,22163,Tnfrsf4,TNFRSF4,7293
ENSMUSG00000029076,20318,Sdf4,SDF4,51150
ENSMUSG00000029082,12182,Bst1,BST1,683
ENSMUSG00000029084,12494,Cd38,CD38,952
ENSMUSG00000029086,19126,Prom1,PROM1,8842
ENSMUSG00000029088,80334,Kcnip4,KCNIP4,80333
ENSMUSG00000029089,66768,Pacrgl,PACRGL,133015
ENSMUSG00000029090,70693,Adgra3,GPR125,166647
ENSMUSG00000029092,52401,D5Ertd615e,NA,NA
ENSMUSG00000029093,81840,Sorcs2,SORCS2,57537
ENSMUSG00000029094,70292,Afap1,AFAP1,60312
ENSMUSG00000029095,231148,Ablim2,ABLIM2,84448
ENSMUSG00000029096,78558,Htra3,HTRA3,94031
ENSMUSG00000029097,78890,Trmt44,TRMT44,152992
ENSMUSG00000029098,80911,Acox3,ACOX3,8310
ENSMUSG00000029101,71729,Rgs12,RGS12,6002
ENSMUSG00000029102,54426,Hgfac,HGFAC,3083
ENSMUSG00000029103,16976,Lrpap1,LRPAP1,4043
ENSMUSG00000029104,15194,Htt,HTT,3064
ENSMUSG00000029106,11518,Add1,ADD1,118
ENSMUSG00000029108,54216,Pcdh7,PCDH7,5099
ENSMUSG00000029110,19822,Rnf4,RNF4,6047
ENSMUSG00000029111,24116,Nelfa,NELFA,7469
ENSMUSG00000029112,672284,Nkx1-1,NA,NA
ENSMUSG00000029119,17160,Man2b2,MAN2B2,23324
ENSMUSG00000029120,269643,Ppp2r2c,PPP2R2C,5522
ENSMUSG00000029121,12933,Crmp1,CRMP1,1400
ENSMUSG00000029122,59056,Evc,EVC,2121
ENSMUSG00000029123,64293,Stk32b,STK32B,55351
ENSMUSG00000029125,71116,Stx18,STX18,53407
ENSMUSG00000029126,18196,Nsg1,NSG1,27065
ENSMUSG00000029127,75079,Zbtb49,ZBTB49,166793
ENSMUSG00000029128,100972,Rab28,RAB28,9364
ENSMUSG00000029130,56874,Rnf32,RNF32,140545
ENSMUSG00000029131,23950,Dnajb6,DNAJB6,10049
ENSMUSG00000029134,665270,Plb1,PLB1,151056
ENSMUSG00000029135,14284,Fosl2,FOSL2,2355
ENSMUSG00000029136,71336,Rbks,RBKS,64080
ENSMUSG00000029138,67656,Ccdc121,NA,NA
ENSMUSG00000029141,20534,Slc4a1ap,SLC4A1AP,22950
ENSMUSG00000029146,266781,Snx17,SNX17,9784
ENSMUSG00000029147,14208,Ppm1g,PPM1G,5496
ENSMUSG00000029148,192292,Nrbp1,NRBP1,29959
ENSMUSG00000029149,69815,Krtcap3,KRTCAP3,200634
ENSMUSG00000029151,22784,Slc30a3,SLC30A3,7781
ENSMUSG00000029152,68095,Ociad1,OCIAD1,54940
ENSMUSG00000029153,433904,Ociad2,OCIAD2,132299
ENSMUSG00000029154,231293,Cwh43,CWH43,80157
ENSMUSG00000029155,73472,Spata18,SPATA18,132671
ENSMUSG00000029156,24051,Sgcb,SGCB,6443
ENSMUSG00000029158,75581,Yipf7,YIPF7,285525
ENSMUSG00000029161,68567,Cgref1,CGREF1,10669
ENSMUSG00000029162,16548,Khk,KHK,3795
ENSMUSG00000029163,100952,Emilin1,EMILIN1,11117
ENSMUSG00000029165,231093,Agbl5,AGBL5,60509
ENSMUSG00000029166,100732,Mapre3,MAPRE3,22924
ENSMUSG00000029167,19017,Ppargc1a,PPARGC1A,10891
ENSMUSG00000029168,65254,Dpysl5,DPYSL5,56896
ENSMUSG00000029169,13204,Dhx15,DHX15,1665
ENSMUSG00000029171,66681,Pgm2,PGM2,55276
ENSMUSG00000029173,211006,Sepsecs,SEPSECS,51091
ENSMUSG00000029174,57915,Tbc1d1,TBC1D1,23216
ENSMUSG00000029175,74919,Slc35f6,SLC35F6,54978
ENSMUSG00000029176,52206,Anapc4,ANAPC4,29945
ENSMUSG00000029177,12615,Cenpa,CENPA,1058
ENSMUSG00000029178,16599,Klf3,KLF3,51274
ENSMUSG00000029179,78796,Zcchc4,ZCCHC4,29063
ENSMUSG00000029182,75434,Cimip2c,C2orf70,339778
ENSMUSG00000029184,258832,Or12d17,OR12D3,81797
ENSMUSG00000029185,68303,Fam114a1,FAM114A1,92689
ENSMUSG00000029186,67073,Pi4k2b,PI4K2B,55300
ENSMUSG00000029188,20531,Slc34a2,SLC34A2,10568
ENSMUSG00000029189,231238,Sel1l3,SEL1L3,23231
ENSMUSG00000029190,320661,D5Ertd579e,KIAA0232,9778
ENSMUSG00000029191,19687,Rfc1,RFC1,5981
ENSMUSG00000029192,100855,Tbc1d14,TBC1D14,57533
ENSMUSG00000029193,12425,Cckar,CCKAR,886
ENSMUSG00000029195,83379,Klb,KLB,152831
ENSMUSG00000029196,231151,Tada2b,TADA2B,93624
ENSMUSG00000029198,17713,Grpel1,GRPEL1,80273
ENSMUSG00000029199,79464,Lias,LIAS,11019
ENSMUSG00000029201,22235,Ugdh,UGDH,7358
ENSMUSG00000029202,71521,Pds5a,PDS5A,23244
ENSMUSG00000029203,53323,Ube2k,UBE2K,3093
ENSMUSG00000029204,74734,Rhoh,RHOH,399
ENSMUSG00000029205,231252,Chrna9,CHRNA9,55584
ENSMUSG00000029206,70918,Nsun7,NSUN7,79730
ENSMUSG00000029207,11787,Apbb2,APBB2,323
ENSMUSG00000029208,231279,Guf1,GUF1,60558
ENSMUSG00000029209,67980,Gnpda2,GNPDA2,132789
ENSMUSG00000029211,14397,Gabra4,GABRA4,2557
ENSMUSG00000029212,14400,Gabrb1,GABRB1,2560
ENSMUSG00000029213,27784,Commd8,COMMD8,54951
ENSMUSG00000029217,21682,Tec,TEC,7006
ENSMUSG00000029219,231290,Slc10a4,SLC10A4,201780
ENSMUSG00000029221,109108,Slc30a9,SLC30A9,10463
ENSMUSG00000029223,22223,Uchl1,UCHL1,7345
ENSMUSG00000029227,66899,Fip1l1,NA,NA
ENSMUSG00000029228,16924,Lnx1,LNX1,84708
ENSMUSG00000029229,74277,Chic2,CHIC2,26511
ENSMUSG00000029231,18595,Pdgfra,PDGFRA,5156
ENSMUSG00000029233,57357,Srd5a3,SRD5A3,79644
ENSMUSG00000029234,21982,Tmem165,TMEM165,55858
ENSMUSG00000029235,79455,Pdcl2,PDCL2,132954
ENSMUSG00000029236,56183,Nmu,NMU,10874
ENSMUSG00000029238,12753,Clock,CLOCK,9575
ENSMUSG00000029245,13839,Epha5,EPHA5,2044
ENSMUSG00000029246,231327,Ppat,PPAT,5471
ENSMUSG00000029247,67054,Paics,PAICS,10606
ENSMUSG00000029248,71868,Spmap2l,THEGL,100506564
ENSMUSG00000029249,19712,Rest,REST,5978
ENSMUSG00000029250,231329,Polr2b,POLR2B,5431
ENSMUSG00000029253,12617,Cenpc1,CENPC,1060
ENSMUSG00000029254,56792,Stap1,STAP1,26228
ENSMUSG00000029255,14715,Gnrhr,GNRHR,2798
ENSMUSG00000029260,100727,Ugt2b34,UGT2B10,7365
ENSMUSG00000029263,433931,Pigg,PIGG,54872
ENSMUSG00000029265,13486,Dr1,DR1,1810
ENSMUSG00000029267,17765,Mtf2,MTF2,22823
ENSMUSG00000029269,56362,Sult1b1,SULT1B1,27284
ENSMUSG00000029270,67266,Dipk1a,FAM69A,388650
ENSMUSG00000029272,20860,Sult1e1,SULT1E1,6783
ENSMUSG00000029273,53315,Sult1d1,NA,NA
ENSMUSG00000029275,14581,Gfi1,GFI1,2672
ENSMUSG00000029276,170823,Glmn,GLMN,11146
ENSMUSG00000029279,114642,Brdt,BRDT,676
ENSMUSG00000029281,20600,Smr2,NA,NA
ENSMUSG00000029282,71421,Amtn,AMTN,401138
ENSMUSG00000029283,12545,Cdc7,CDC7,8317
ENSMUSG00000029286,13801,Enam,ENAM,10117
ENSMUSG00000029287,21814,Tgfbr3,TGFBR3,7049
ENSMUSG00000029288,11698,Ambn,AMBN,258
ENSMUSG00000029290,54367,Zfp326,ZNF326,284695
ENSMUSG00000029291,52822,Rufy3,RUFY3,22902
ENSMUSG00000029298,236573,Gbp9,GBP6,163351
ENSMUSG00000029299,27405,Abcg3,NA,NA
ENSMUSG00000029304,20750,Spp1,SPP1,6696
ENSMUSG00000029306,15891,Ibsp,IBSP,3381
ENSMUSG00000029307,13406,Dmp1,DMP1,1758
ENSMUSG00000029309,13602,Sparcl1,SPARCL1,8404
ENSMUSG00000029310,74167,Nudt9,NUDT9,53343
ENSMUSG00000029311,114664,Hsd17b11,HSD17B11,51170
ENSMUSG00000029312,246293,Klhl8,KLHL8,57563
ENSMUSG00000029313,17355,Aff1,AFF1,4299
ENSMUSG00000029314,231510,Gpat3,AGPAT9,84803
ENSMUSG00000029319,71883,Coq2,COQ2,27235
ENSMUSG00000029320,74218,1700016H13Rik,C4orf36,132989
ENSMUSG00000029321,75750,Slc10a6,SLC10A6,345274
ENSMUSG00000029322,231507,Plac8,PLAC8,51316
ENSMUSG00000029326,67870,Enoph1,ENOPH1,58478
ENSMUSG00000029328,50926,Hnrnpdl,HNRNPDL,9987
ENSMUSG00000029330,74596,Cds1,CDS1,1040
ENSMUSG00000029334,19092,Prkg2,PRKG2,5593
ENSMUSG00000029335,110075,Bmp3,BMP3,651
ENSMUSG00000029337,14176,Fgf5,FGF5,2250
ENSMUSG00000029338,71914,Antxr2,ANTXR2,118429
ENSMUSG00000029343,12960,Crybb1,CRYBB1,1414
ENSMUSG00000029344,22022,Tpst2,TPST2,8459
ENSMUSG00000029345,54723,Tfip11,TFIP11,24144
ENSMUSG00000029346,70118,Srrd,SRRD,402055
ENSMUSG00000029348,72898,Asphd2,ASPHD2,57168
ENSMUSG00000029352,12962,Crybb3,CRYBB3,1417
ENSMUSG00000029359,57816,Tesc,TESC,54997
ENSMUSG00000029360,100379143,Gm9754,NA,NA
ENSMUSG00000029361,18125,Nos1,NOS1,4842
ENSMUSG00000029363,72151,Rfc5,RFC5,5985
ENSMUSG00000029364,59043,Wsb2,WSB2,55884
ENSMUSG00000029366,13178,Dck,DCK,1633
ENSMUSG00000029368,11657,Alb,ALB,213
ENSMUSG00000029369,280662,Afm,AFM,173
ENSMUSG00000029370,73246,Rassf6,RASSF6,166824
ENSMUSG00000029371,20311,Cxcl5,CXCL6,6372
ENSMUSG00000029372,57349,Ppbp,NA,NA
ENSMUSG00000029373,56744,Pf4,PF4,5196
ENSMUSG00000029375,20309,Cxcl15,NA,NA
ENSMUSG00000029376,665563,Mthfd2l,MTHFD2L,441024
ENSMUSG00000029377,13874,Ereg,EREG,2069
ENSMUSG00000029378,11839,Areg,AREG,374
ENSMUSG00000029379,330122,Cxcl3,NA,NA
ENSMUSG00000029380,14825,Cxcl1,CXCL2,2920
ENSMUSG00000029381,27428,Shroom3,SHROOM3,57619
ENSMUSG00000029384,75610,2010109A12Rik,NA,NA
ENSMUSG00000029385,12452,Ccng2,CCNG2,901
ENSMUSG00000029387,209357,Gtf2h3,GTF2H3,2967
ENSMUSG00000029389,67848,Ddx55,DDX55,57696
ENSMUSG00000029390,56334,Tmed2,TMED2,10959
ENSMUSG00000029392,75695,Rilpl1,RILPL1,353116
ENSMUSG00000029394,13445,Cdk2ap1,CDK2AP1,8099
ENSMUSG00000029397,68098,Rchy1,RCHY1,25898
ENSMUSG00000029401,80291,Rilpl2,RILPL2,196383
ENSMUSG00000029402,76167,Snrnp35,SNRNP35,11066
ENSMUSG00000029403,53886,Cdkl2,CDKL2,8999
ENSMUSG00000029404,65105,Arl6ip4,ARL6IP4,51329
ENSMUSG00000029405,23881,G3bp2,G3BP2,9908
ENSMUSG00000029406,19679,Pitpnm2,PITPNM2,57605
ENSMUSG00000029407,56041,Uso1,USO1,8615
ENSMUSG00000029408,56325,Abcb9,ABCB9,23457
ENSMUSG00000029409,57425,U90926,NA,NA
ENSMUSG00000029410,19023,Ppef2,PPEF2,5470
ENSMUSG00000029413,67111,Naaa,NAAA,27163
ENSMUSG00000029414,208628,Kntc1,KNTC1,9735
ENSMUSG00000029415,231452,Sdad1,SDAD1,55153
ENSMUSG00000029416,100561,Slc15a4,SLC15A4,121260
ENSMUSG00000029417,17329,Cxcl9,NA,NA
ENSMUSG00000029419,381353,Ajm1,C9orf172,389813
ENSMUSG00000029420,231760,Rimbp2,RIMBP2,23504
ENSMUSG00000029422,208606,Rsrc2,NA,NA
ENSMUSG00000029423,57749,Piwil1,PIWIL1,9271
ENSMUSG00000029426,12492,Scarb2,SCARB2,950
ENSMUSG00000029427,70650,Zcchc8,ZCCHC8,55596
ENSMUSG00000029428,13852,Stx2,STX2,2054
ENSMUSG00000029430,19384,Ran,RAN,5901
ENSMUSG00000029431,231727,B3gnt4,B3GNT4,79369
ENSMUSG00000029432,14467,Nipsnap2,GBAS,2631
ENSMUSG00000029433,66593,Diablo,DIABLO,56616
ENSMUSG00000029434,77573,Vps33a,VPS33A,65082
ENSMUSG00000029436,23948,Mmp17,MMP17,4326
ENSMUSG00000029437,76399,Il31,NA,NA
ENSMUSG00000029438,77045,Bcl7a,BCL7A,605
ENSMUSG00000029439,231769,Sfswap,SFSWAP,6433
ENSMUSG00000029440,67151,Psmd9,PSMD9,5715
ENSMUSG00000029442,269701,Cfap251,WDR66,144406
ENSMUSG00000029445,15445,Hpd,HPD,3242
ENSMUSG00000029446,100678,Psph,PSPH,5723
ENSMUSG00000029447,12466,Cct6a,CCT6A,908
ENSMUSG00000029449,23912,Rhof,RHOF,54509
ENSMUSG00000029451,194225,Pramel27,NA,NA
ENSMUSG00000029452,77462,Tmem116,TMEM116,89894
ENSMUSG00000029454,17165,Mapkapk5,MAPKAPK5,8550
ENSMUSG00000029455,11669,Aldh2,ALDH2,217
ENSMUSG00000029456,71985,Acad10,ACAD10,80724
ENSMUSG00000029458,72399,Brap,BRAP,8315
ENSMUSG00000029461,319604,Fam168a,FAM168A,23201
ENSMUSG00000029462,56433,Vps29,VPS29,51699
ENSMUSG00000029463,68948,Fam216a,FAM216A,29902
ENSMUSG00000029464,68080,Gpn3,GPN3,51184
ENSMUSG00000029465,56378,Arpc3,ARPC3,10094
ENSMUSG00000029466,56317,Anapc7,ANAPC7,51434
ENSMUSG00000029467,11938,Atp2a2,ATP2A2,488
ENSMUSG00000029468,18439,P2rx7,P2RX7,5027
ENSMUSG00000029469,12589,Ift81,IFT81,28981
ENSMUSG00000029470,18438,P2rx4,P2RX4,5025
ENSMUSG00000029471,207565,Camkk2,CAMKK2,10645
ENSMUSG00000029472,59008,Anapc5,ANAPC5,51433
ENSMUSG00000029474,80751,Rnf34,RNF34,80196
ENSMUSG00000029475,30841,Kdm2b,KDM2B,84678
ENSMUSG00000029477,74890,Morn3,MORN3,283385
ENSMUSG00000029478,20602,Ncor2,NCOR2,9612
ENSMUSG00000029480,208144,Dhx37,DHX37,57647
ENSMUSG00000029482,78894,Aacs,AACS,65985
ENSMUSG00000029484,11745,Anxa3,ANXA3,306
ENSMUSG00000029486,94061,Mrpl1,MRPL1,65008
ENSMUSG00000029490,243197,Slc49a3,MFSD7,84179
ENSMUSG00000029491,18587,Pde6b,PDE6B,5158
ENSMUSG00000029499,19301,Pxmp2,PXMP2,5827
ENSMUSG00000029500,72542,Pgam5,PGAM5,192111
ENSMUSG00000029501,71782,Ankle2,ANKLE2,23141
ENSMUSG00000029502,269682,Golga3,GOLGA3,2802
ENSMUSG00000029503,231602,P2rx2,P2RX2,22953
ENSMUSG00000029504,69663,Ddx51,DDX51,317781
ENSMUSG00000029505,75560,Ep400,EP400,57634
ENSMUSG00000029507,56361,Pus1,PUS1,80324
ENSMUSG00000029510,71951,Gpc2,GPC2,221914
ENSMUSG00000029512,22241,Ulk1,ULK1,8408
ENSMUSG00000029513,19079,Prkab1,PRKAB1,5564
ENSMUSG00000029516,12704,Cit,CIT,11113
ENSMUSG00000029517,75196,Ankrd7,ANKRD7,56311
ENSMUSG00000029518,77407,Rab35,RAB35,11021
ENSMUSG00000029521,50883,Chek2,CHEK2,11200
ENSMUSG00000029522,18778,Pla2g1b,PLA2G1B,5319
ENSMUSG00000029524,75387,Sirt4,SIRT4,23409
ENSMUSG00000029526,76658,1700123K08Rik,NA,NA
ENSMUSG00000029528,19303,Pxn,PXN,5829
ENSMUSG00000029530,12769,Ccr9,CCR9,10803
ENSMUSG00000029534,64213,St7,ST7,7982
ENSMUSG00000029535,69076,Triap1,TRIAP1,51499
ENSMUSG00000029536,384281,Gatc,GATC,283459
ENSMUSG00000029538,108014,Srsf9,SRSF9,8683
ENSMUSG00000029541,545817,Cyp2w1,CYP2W1,54905
ENSMUSG00000029544,29867,Cabp1,NA,NA
ENSMUSG00000029545,11409,Acads,ACADS,35
ENSMUSG00000029546,22255,Uncx,UNCX,340260
ENSMUSG00000029547,68510,Ints1,INTS1,26173
ENSMUSG00000029550,74585,Sppl3,SPPL3,121665
ENSMUSG00000029551,66506,Psmg3,PSMG3,84262
ENSMUSG00000029552,21753,Tes,TES,26136
ENSMUSG00000029553,21426,Tfec,TFEC,22797
ENSMUSG00000029554,17120,Mad1l1,MAD1L1,8379
ENSMUSG00000029556,21405,Hnf1a,HNF1A,6927
ENSMUSG00000029557,68017,Mrm2,FTSJ2,29960
ENSMUSG00000029559,72357,2210016L21Rik,C12orf43,64897
ENSMUSG00000029560,231834,Snx8,SNX8,29886
ENSMUSG00000029561,23962,Oasl2,NA,NA
ENSMUSG00000029563,114142,Foxp2,NA,NA
ENSMUSG00000029564,67593,4930519G04Rik,NA,NA
ENSMUSG00000029569,101118,Tmem168,TMEM168,64418
ENSMUSG00000029570,16848,Lfng,LFNG,3955
ENSMUSG00000029571,71900,Tmem106b,TMEM106B,54664
ENSMUSG00000029575,77697,Mmab,MMAB,326625
ENSMUSG00000029576,231858,Radil,RADIL,55698
ENSMUSG00000029577,117146,Ube3b,UBE3B,89910
ENSMUSG00000029578,74781,Wipi2,WIPI2,26100
ENSMUSG00000029581,14086,Fscn1,FSCN1,6624
ENSMUSG00000029586,330228,Spdye4b,LOC100505767,100505767
ENSMUSG00000029587,231866,Zfp12,ZNF12,7559
ENSMUSG00000029591,22256,Ung,UNG,7374
ENSMUSG00000029592,100756,Usp30,USP30,84749
ENSMUSG00000029594,74111,Rbm19,RBM19,9904
ENSMUSG00000029595,16873,Lhx5,LHX5,64211
ENSMUSG00000029596,257635,Sdsl,SDSL,113675
ENSMUSG00000029597,231691,Sds,SDS,10993
ENSMUSG00000029598,71772,Plbd2,PLBD2,196463
ENSMUSG00000029599,71990,Ddx54,DDX54,79039
ENSMUSG00000029600,100764,Rita1,RITA1,84934
ENSMUSG00000029601,75732,Iqcd,IQCD,115811
ENSMUSG00000029602,19415,Rasal1,RASAL1,8437
ENSMUSG00000029603,14357,Dtx1,DTX1,1840
ENSMUSG00000029605,23961,Oas1b,NA,NA
ENSMUSG00000029607,66729,Ankrd61,ANKRD61,100310846
ENSMUSG00000029608,19894,Rph3a,RPH3A,22895
ENSMUSG00000029610,231872,Aimp2,AIMP2,7965
ENSMUSG00000029616,67397,Erp29,ERP29,10961
ENSMUSG00000029617,231874,Ccz1,CCZ1,51622
ENSMUSG00000029618,18261,Ocm,OCM,654231
ENSMUSG00000029620,69396,1700018F24Rik,NA,NA
ENSMUSG00000029621,56443,Arpc1a,ARPC1A,10552
ENSMUSG00000029622,11867,Arpc1b,ARPC1B,10095
ENSMUSG00000029623,231887,Pdap1,PDAP1,11333
ENSMUSG00000029624,71799,Ptcd1,ATP5J2-PTCD1,100526740
ENSMUSG00000029625,54188,Cpsf4,CPSF4,10898
ENSMUSG00000029627,67235,Zkscan14,ZNF394,84124
ENSMUSG00000029629,75725,Phf14,PHF14,9678
ENSMUSG00000029630,56388,Cyp3a25,NA,NA
ENSMUSG00000029632,17992,Ndufa4,NDUFA4,4697
ENSMUSG00000029633,NA,NA,NA,NA
ENSMUSG00000029634,74132,Rnf6,RNF6,6049
ENSMUSG00000029635,264064,Cdk8,CDK8,1024
ENSMUSG00000029636,245880,Wasf3,WASF3,10810
ENSMUSG00000029638,170772,Glcci1,GLCCI1,113263
ENSMUSG00000029640,22217,Usp12,USP12,219333
ENSMUSG00000029641,68895,Rasl11a,RASL11A,387496
ENSMUSG00000029642,20018,Polr1d,POLR1D,51082
ENSMUSG00000029644,18609,Pdx1,PDX1,3651
ENSMUSG00000029646,12591,Cdx2,CDX2,1045
ENSMUSG00000029647,72587,Pan3,PAN3,255967
ENSMUSG00000029648,14254,Flt1,FLT1,2321
ENSMUSG00000029649,66537,Pomp,POMP,51371
ENSMUSG00000029650,71706,Slc46a3,SLC46A3,283537
ENSMUSG00000029651,77521,Mtus2,MTUS2,23281
ENSMUSG00000029655,381695,N4bp2l2,N4BP2L2,10443
ENSMUSG00000029656,110382,C8b,C8B,732
ENSMUSG00000029657,15505,Hsph1,HSPH1,10808
ENSMUSG00000029658,381693,Wdr95,NA,NA
ENSMUSG00000029659,70717,Medag,MEDAG,84935
ENSMUSG00000029660,75860,Tex26,TEX26,122046
ENSMUSG00000029661,12843,Col1a2,COL1A2,1278
ENSMUSG00000029663,14699,Gngt1,GNGT1,2792
ENSMUSG00000029664,21789,Tfpi2,TFPI2,7980
ENSMUSG00000029669,269831,Tspan12,TSPAN12,23554
ENSMUSG00000029670,71777,Ing3,ING3,54556
ENSMUSG00000029671,93735,Wnt16,WNT16,51384
ENSMUSG00000029672,27999,Fam3c,FAM3C,10447
ENSMUSG00000029673,319974,Auts2,AUTS2,26053
ENSMUSG00000029674,16885,Limk1,LIMK1,3984
ENSMUSG00000029675,13717,Eln,NA,NA
ENSMUSG00000029676,101185,Pot1a,POT1,25913
ENSMUSG00000029678,74468,Hyal5,SPAM1,6677
ENSMUSG00000029679,74409,Hyal6,NA,NA
ENSMUSG00000029680,77042,Hyal4,HYAL4,23553
ENSMUSG00000029681,12054,Bcl7b,BCL7B,9275
ENSMUSG00000029682,20690,Spam1,NA,NA
ENSMUSG00000029683,93677,Lmod2,LMOD2,442721
ENSMUSG00000029684,73178,Wasl,NA,NA
ENSMUSG00000029685,78910,Asb15,ASB15,142685
ENSMUSG00000029686,26965,Cul1,CUL1,8454
ENSMUSG00000029687,14056,Ezh2,EZH2,2146
ENSMUSG00000029695,30956,Aass,AASS,10157
ENSMUSG00000029697,73191,Fezf1,FEZF1,389549
ENSMUSG00000029699,109267,Ssc4d,SRCRB4D,136853
ENSMUSG00000029700,55961,Slc13a1,SLC13A1,6561
ENSMUSG00000029701,68272,Rbm28,RBM28,55131
ENSMUSG00000029703,71735,Lrwd1,LRWD1,222229
ENSMUSG00000029705,13047,Cux1,NA,NA
ENSMUSG00000029706,18506,Pax4,PAX4,5078
ENSMUSG00000029707,56223,Fscn3,FSCN3,29999
ENSMUSG00000029708,74375,Gcc1,GCC1,79571
ENSMUSG00000029710,13846,Ephb4,EPHB4,2050
ENSMUSG00000029711,13856,Epo,EPO,2056
ENSMUSG00000029712,83766,Actl6b,ACTL6B,51412
ENSMUSG00000029713,14693,Gnb2,GNB2,2783
ENSMUSG00000029714,57330,Gigyf1,GIGYF1,64599
ENSMUSG00000029715,74097,Pop7,POP7,10248
ENSMUSG00000029716,50765,Tfr2,TFR2,7036
